[16240:16332:0228/220057.746:INFO:chrome_browser_cloud_management_controller.cc(196)] No machine level policy manager exists.
[16240:16332:0228/220058.075:INFO:CONSOLE(20)] "Promises support:  true", source: chrome-extension://hlkenndednhfkekhgcdicdfddnkalmdm/interface/lib/browserDetector.js (20)
[16240:16332:0228/220058.075:INFO:CONSOLE(27)] "SidePanel support:  true", source: chrome-extension://hlkenndednhfkekhgcdicdfddnkalmdm/interface/lib/browserDetector.js (27)
[12604:21784:0228/220058.082:WARNING:viz_main_impl.cc(85)] VizNullHypothesis is disabled (not a warning)
[16240:16332:0228/220101.727:INFO:CONSOLE(4)] "Listener must be a named function.", source: https://g4b.giftee.biz/giftee_boxes/a2397668-b6e2-4121-ad0d-37ab32c752a2 (4)
[16240:16332:0228/220101.729:INFO:CONSOLE(4)] "Listener must be a named function.", source: https://g4b.giftee.biz/giftee_boxes/a2397668-b6e2-4121-ad0d-37ab32c752a2 (4)
[16240:16332:0228/220101.729:INFO:CONSOLE(4)] "Listener must be a named function.", source: https://g4b.giftee.biz/giftee_boxes/a2397668-b6e2-4121-ad0d-37ab32c752a2 (4)
[16240:16332:0228/220101.729:INFO:CONSOLE(4)] "Listener must be a named function.", source: https://g4b.giftee.biz/giftee_boxes/a2397668-b6e2-4121-ad0d-37ab32c752a2 (4)
[16240:16332:0228/220111.677:INFO:CONSOLE(4)] "Download the Apollo DevTools for a better development experience: %s https://chrome.google.com/webstore/detail/apollo-client-developer-t/jdkknkkbebbapilgoeccciglkfbmbnfm", source: https://g4b.giftee.biz/giftee_boxes/a2397668-b6e2-4121-ad0d-37ab32c752a2 (4)
[16240:16332:0228/220116.869:INFO:CONSOLE(4)] "Listener must be a named function.", source: https://g4b.giftee.biz/giftee_boxes/a2397668-b6e2-4121-ad0d-37ab32c752a2 (4)
[16240:16332:0228/220116.869:INFO:CONSOLE(4)] "Listener must be a named function.", source: https://g4b.giftee.biz/giftee_boxes/a2397668-b6e2-4121-ad0d-37ab32c752a2 (4)
[16240:16332:0228/220116.869:INFO:CONSOLE(4)] "Listener must be a named function.", source: https://g4b.giftee.biz/giftee_boxes/a2397668-b6e2-4121-ad0d-37ab32c752a2 (4)
[16240:16332:0228/220116.869:INFO:CONSOLE(4)] "Listener must be a named function.", source: https://g4b.giftee.biz/giftee_boxes/a2397668-b6e2-4121-ad0d-37ab32c752a2 (4)
[16240:16332:0228/220116.909:INFO:CONSOLE(4)] "Listener must be a named function.", source: https://g4b.giftee.biz/giftee_boxes/a2397668-b6e2-4121-ad0d-37ab32c752a2 (4)
[16240:16332:0228/220116.909:INFO:CONSOLE(4)] "Listener must be a named function.", source: https://g4b.giftee.biz/giftee_boxes/a2397668-b6e2-4121-ad0d-37ab32c752a2 (4)
[16240:16332:0228/220116.909:INFO:CONSOLE(4)] "Listener must be a named function.", source: https://g4b.giftee.biz/giftee_boxes/a2397668-b6e2-4121-ad0d-37ab32c752a2 (4)
[16240:16332:0228/220116.909:INFO:CONSOLE(4)] "Listener must be a named function.", source: https://g4b.giftee.biz/giftee_boxes/a2397668-b6e2-4121-ad0d-37ab32c752a2 (4)
[16240:19668:0228/220127.791:INFO:extension_garbage_collector.cc(184)] Garbage collection for extensions on file thread is complete.
[16240:16332:0228/220148.803:INFO:CONSOLE(339)] "Download the Apollo DevTools for a better development experience: %s https://chrome.google.com/webstore/detail/apollo-client-developer-t/jdkknkkbebbapilgoeccciglkfbmbnfm", source: https://www.gift-wallet.app/assets/index-DpMFjAyx.js (339)
[16240:16332:0228/220149.414:INFO:CONSOLE(4)] "Listener must be a named function.", source: https://g4b.giftee.biz/giftee_boxes/dc512b42-5524-48f8-a01f-f48523e41c49 (4)
[16240:16332:0228/220149.414:INFO:CONSOLE(4)] "Listener must be a named function.", source: https://g4b.giftee.biz/giftee_boxes/dc512b42-5524-48f8-a01f-f48523e41c49 (4)
[16240:16332:0228/220149.414:INFO:CONSOLE(4)] "Listener must be a named function.", source: https://g4b.giftee.biz/giftee_boxes/dc512b42-5524-48f8-a01f-f48523e41c49 (4)
[16240:16332:0228/220149.414:INFO:CONSOLE(4)] "Listener must be a named function.", source: https://g4b.giftee.biz/giftee_boxes/dc512b42-5524-48f8-a01f-f48523e41c49 (4)
[16240:16332:0228/220155.987:ERROR:device_event_log_impl.cc(199)] [22:01:55.981] USB: usb_service_win.cc:105 SetupDiGetDeviceProperty({{A45C254E-DF1C-4EFD-8020-67D146A850E0}, 6}) failed: Element not found. (0x490)
[16240:16332:0228/220159.364:INFO:CONSOLE(4)] "Download the Apollo DevTools for a better development experience: %s https://chrome.google.com/webstore/detail/apollo-client-developer-t/jdkknkkbebbapilgoeccciglkfbmbnfm", source: https://g4b.giftee.biz/giftee_boxes/dc512b42-5524-48f8-a01f-f48523e41c49 (4)
[16240:16332:0228/220203.986:INFO:CONSOLE(4)] "Listener must be a named function.", source: https://g4b.giftee.biz/giftee_boxes/dc512b42-5524-48f8-a01f-f48523e41c49 (4)
[16240:16332:0228/220203.986:INFO:CONSOLE(4)] "Listener must be a named function.", source: https://g4b.giftee.biz/giftee_boxes/dc512b42-5524-48f8-a01f-f48523e41c49 (4)
[16240:16332:0228/220203.986:INFO:CONSOLE(4)] "Listener must be a named function.", source: https://g4b.giftee.biz/giftee_boxes/dc512b42-5524-48f8-a01f-f48523e41c49 (4)
[16240:16332:0228/220203.986:INFO:CONSOLE(4)] "Listener must be a named function.", source: https://g4b.giftee.biz/giftee_boxes/dc512b42-5524-48f8-a01f-f48523e41c49 (4)
[16240:16332:0228/220204.020:INFO:CONSOLE(4)] "Listener must be a named function.", source: https://g4b.giftee.biz/giftee_boxes/dc512b42-5524-48f8-a01f-f48523e41c49 (4)
[16240:16332:0228/220204.020:INFO:CONSOLE(4)] "Listener must be a named function.", source: https://g4b.giftee.biz/giftee_boxes/dc512b42-5524-48f8-a01f-f48523e41c49 (4)
[16240:16332:0228/220204.020:INFO:CONSOLE(4)] "Listener must be a named function.", source: https://g4b.giftee.biz/giftee_boxes/dc512b42-5524-48f8-a01f-f48523e41c49 (4)
[16240:16332:0228/220204.020:INFO:CONSOLE(4)] "Listener must be a named function.", source: https://g4b.giftee.biz/giftee_boxes/dc512b42-5524-48f8-a01f-f48523e41c49 (4)
[16240:16332:0228/220235.879:INFO:CONSOLE(339)] "Download the Apollo DevTools for a better development experience: %s https://chrome.google.com/webstore/detail/apollo-client-developer-t/jdkknkkbebbapilgoeccciglkfbmbnfm", source: https://www.gift-wallet.app/assets/index-DpMFjAyx.js (339)
